encoder1.conv3x3_bn.conv,encoder_fc_part19,encoder_fc_part12,encoder_fc_part1,encoder_fc_part8,encoder_fc_part9,encoder_fc_part14,encoder_fc_part20,encoder_fc_part27,encoder_fc_part2,encoder_fc_part10,encoder_fc_part0,encoder_fc_part31,encoder_fc_part13,encoder_fc_part5,encoder_fc_part24,encoder_fc_part22,encoder_fc_part4,encoder_fc_part3,encoder_fc_part28,encoder_fc_part23,encoder_fc_part25,encoder_fc_part17,encoder_fc_part26,encoder_fc_part16,encoder_fc_part30,encoder_fc_part11,encoder_fc_part6,encoder_fc_part21,encoder_fc_part15,encoder_fc_part29,encoder2.conv,encoder_fc_part7,encoder_fc_part18,encoder_conv.conv1x1_bn.conv,encoder1.conv1x9_bn.conv,encoder1.conv9x1_bn.conv,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB,NMSE_dB_ILP
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,86.35,86.71748060507586,0.03832691350978664,-12.859286767189001,-12.8561108726748
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,8,86.45,86.71790969631783,0.03832879180736419,-12.856903168582898,-12.8561108726748
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,8,86.4,86.71790969631783,0.03832879180736419,-12.856903168582898,-12.8561108726748
16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,86.75,87.10804898887032,0.040490390853377495,-12.856903168582898,-12.853882529911429
16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,86.8,87.10804898887032,0.04049203366801336,-12.856903168582898,-12.853882529911429
16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,86.85,87.10804898887032,0.040490390853377495,-12.856903168582898,-12.853882529911429
16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,86.9,87.10804898887032,0.040490390853377495,-12.856903168582898,-12.853882529911429
16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,86.95,87.10804898887032,0.04049203366801336,-12.856903168582898,-12.853882529911429
16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,87.0,87.10804898887032,0.04049203366801336,-12.856903168582898,-12.853882529911429
16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,87.05,87.10804898887032,0.04049203366801336,-12.856903168582898,-12.853882529911429
16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,87.1,87.10804898887032,0.040490390853377495,-12.856903168582898,-12.853882529911429
16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,87.15,87.49861737266478,0.04774373429642493,-12.846797368833514,-12.846450508927612
