encoder2.conv,encoder1.conv3x3_bn.conv,replace_efc_part11,replace_efc_part30,replace_efc_part20,replace_efc_part3,replace_efc_part14,replace_efc_part19,replace_efc_part12,replace_efc_part2,replace_efc_part17,replace_efc_part7,replace_efc_part10,replace_efc_part1,replace_efc_part5,replace_efc_part21,replace_efc_part6,replace_efc_part22,replace_efc_part15,replace_efc_part18,replace_efc_part31,replace_efc_part24,replace_efc_part29,replace_efc_part27,replace_efc_part16,replace_efc_part4,replace_efc_part9,replace_efc_part23,replace_efc_part26,replace_efc_part28,replace_efc_part0,replace_efc_part8,replace_efc_part25,replace_efc_part13,encoder_conv.conv1x1_bn.conv,se.fc.0,encoder1.conv1x9_bn.conv,encoder1.conv9x1_bn.conv,sa.spatial.conv,se.fc.2,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB,NMSE_dB_ILP
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,86.65,86.71520035997492,0.008534817143855032,-13.001348757775391,-12.998761815171122
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,86.6,86.71520035997492,0.008534817143855032,-13.001348757775391,-12.998761815171122
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,86.4,86.71520035997492,0.008534817143855032,-13.001348757775391,-12.998761815171122
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,86.55,86.71520035997492,0.008534817143855032,-13.001348757775391,-12.998761815171122
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,86.7,86.71562935549619,0.008534979855868163,-13.001348757775391,-12.998761815171122
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,86.45,86.71639201420071,0.008540729353314522,-13.001348757775391,-12.998761815171122
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,86.35,86.71639201420071,0.008540729353314522,-13.001348757775391,-12.998761815171122
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,86.5,86.71639201420071,0.008540729353314522,-13.001348757775391,-12.998761815171122
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,86.8,87.10568161668392,0.008972855305936221,-12.999925761441224,-12.998212655818712
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,87.05,87.10568161668392,0.008972855305936221,-12.999925761441224,-12.998212655818712
