encoder2.conv,replace_efc_part30,encoder1.conv3x3_bn.conv,replace_efc_part11,replace_efc_part17,replace_efc_part15,replace_efc_part5,replace_efc_part20,replace_efc_part10,replace_efc_part3,replace_efc_part31,replace_efc_part7,replace_efc_part9,replace_efc_part14,replace_efc_part25,replace_efc_part12,replace_efc_part2,replace_efc_part21,replace_efc_part13,replace_efc_part8,replace_efc_part29,replace_efc_part22,replace_efc_part23,replace_efc_part19,replace_efc_part24,replace_efc_part6,replace_efc_part26,replace_efc_part1,replace_efc_part0,replace_efc_part28,replace_efc_part18,replace_efc_part4,replace_efc_part16,replace_efc_part27,encoder_conv.conv1x1_bn.conv,encoder1.conv1x9_bn.conv,se.fc.0,sa.spatial.conv,encoder1.conv9x1_bn.conv,se.fc.2,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB,NMSE_dB_ILP
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,8,8,8,8,8,8,8,8,16,16,16,16,16,8,89.1,89.25754698454281,0.0022105355828436254,-13.01271183925552,-13.010421081939743
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,16,16,16,16,16,8,89.2,89.25754698454281,0.0022031289019021666,-13.01271183925552,-13.010421081939743
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,16,8,8,8,8,8,8,8,8,16,16,8,16,16,8,89.3,89.45316894224958,0.0024870868475113696,-13.01271183925552,-13.009960624853342
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,16,8,8,8,8,8,8,8,8,16,16,8,16,8,8,89.4,89.45338344001021,0.0024872532403233272,-13.012662078632442,-13.009960624853342
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,16,16,16,16,16,8,89.5,89.64802824125184,0.0027772354336332576,-13.011937279760318,-13.009261188533138
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,16,8,8,8,8,8,8,8,8,16,16,8,16,8,8,89.6,89.64862406836473,0.0027767505638678133,-13.011937279760318,-13.009261188533138
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,16,16,16,16,16,8,89.7,89.84326886960633,0.003066732757177744,-13.011002862701186,-13.008657602591644
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,16,16,16,16,16,8,89.8,89.84326886960633,0.003066732757177744,-13.011002862701186,-13.008657602591644
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,16,8,8,8,8,8,8,8,8,16,16,8,16,8,8,89.9,90.03910532507375,0.0033650964991322413,-13.011002862701186,-13.00788668661003
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,16,8,8,90.0,90.03910532507375,0.0033608716749877737,-13.010558085165165,-13.00788668661003
