Target_Saving,Budget,Avg_Saving,SNR_Context,Num_Policies,NMSE_dB,Rate_10,Outage_10dB_95,Outage_10dB_98,Outage_10dB_99,NMSE_dB_Low,Rate_10_Low,NMSE_dB_Mid,Rate_10_Mid,NMSE_dB_High,Rate_10_High,Rate_20,Outage_20dB_95,Outage_20dB_98,Outage_20dB_99,Rate_20_Low,Rate_20_Mid,Rate_20_High,Rate_30,Outage_30dB_95,Outage_30dB_98,Outage_30dB_99,Rate_30_Low,Rate_30_Mid,Rate_30_High
89.0,0.22216796874999795,89.03300821818839,20,1,-14.533515868368827,,,,,-13.987124695821198,,-14.584284290904087,,-15.101142375156487,,7.102712585854531,0.0001,0.0125,0.22065,7.88512416499492,7.1373481891365484,6.2851749789528775,,,,,,,
89.0,0.22216796874999795,89.03300821818839,30,1,-14.533515868368827,,,,,-13.987124695821198,,-14.584284290904087,,-15.101142375156487,,,,,,,,,10.4134468791008,0.0,0.002,0.062,11.201195813827194,10.449553231100301,9.589097081398478
89.5,0.21093749999999797,89.61099069809447,10,1,-14.246756549542777,3.883195478415489,0.0017,0.16105,0.60145,-13.714780407280141,4.616566473306405,-14.294840946168295,3.905393807810799,-14.798826469046242,3.1271726311254904,,,,,,,,,,,,,,
89.5,0.21093749999999797,89.61099069809447,20,1,-14.246756549542777,,,,,-13.714780407280141,,-14.294840946168295,,-14.798826469046242,,7.099145675945282,0.0001,0.0152,0.255,7.881262624485449,7.133768306353454,6.2819158571536375,,,,,,,
89.5,0.21093749999999797,89.61099069809447,30,1,-14.246756549542777,,,,,-13.714780407280141,,-14.294840946168295,,-14.798826469046242,,,,,,,,,10.409849762821198,0.0,0.00215,0.0751,11.19731671694302,10.445945950418299,9.585792285482995
90.0,0.199707031249998,90.18972575935459,10,1,-13.966083140871037,3.879785615098476,0.002,0.18795,0.64895,-13.446695516441753,4.612739586229445,-14.009932338451009,3.901939340601728,-14.506785484039339,3.1242246725479093,,,,,,,,,,,,,,
90.0,0.199707031249998,90.18972575935459,20,1,-13.966083140871037,,,,,-13.446695516441753,,-14.009932338451009,,-14.506785484039339,,7.095464862322808,0.0001,0.0186,0.29035,7.877266784663964,7.130057539565161,6.278580229966437,,,,,,,
90.0,0.199707031249998,90.18897317800054,30,1,-13.966539365774594,,,,,-13.447364866988185,,-14.01018139940791,,-14.50720192340343,,,,,,,,,10.406146259641647,0.0,0.0023,0.09355,11.193313946320615,10.442212195473655,9.582418499302035
90.5,0.188476562499998,90.57617628465637,10,1,-13.77759413806989,3.8773329226136206,0.0023,0.2072,0.6853,-13.265930761037257,4.609970584914008,-13.820159389587374,3.8994691656175027,-14.309888387001955,3.1221059717479447,,,,,,,,,,,,,,
90.5,0.188476562499998,90.57617628465637,20,1,-13.77759413806989,,,,,-13.265930761037257,,-13.820159389587374,,-14.309888387001955,,7.092816972827912,0.0001,0.02175,0.3182,7.874374661105224,7.127404041610654,6.276182332960498,,,,,,,
90.5,0.188476562499998,90.57617628465637,30,1,-13.778046288975027,,,,,-13.266499441612773,,-13.820494237078616,,-14.31032364269139,,,,,,,,,10.403482957172393,0.0,0.0025,0.10535,11.190415972067198,10.439543458610219,9.579995447132482
91.0,0.17724609374999803,91.15302989253138,10,1,-13.522947830295342,3.8738630077183247,0.0026,0.23925,0.72965,-13.024059050612903,4.6060957002582565,-13.563167512118603,3.8959699315658645,-14.041659445051039,3.1190706064470675,,,,,,,,,,,,,,
91.0,0.17724609374999803,91.15302989253138,20,1,-13.51783206156739,,,,,-13.017824211347406,,-13.559063774058338,,-14.036828810580493,,7.089018712186814,0.0001,0.02725,0.35875,7.8702663274746705,7.123605481864595,6.272694630711591,,,,,,,
91.0,0.17724609374999803,91.15302989253138,30,1,-13.522947830295342,,,,,-13.024059050612903,,-13.563167512118603,,-14.041659445051039,,,,,,,,,10.39968839712143,0.0,0.0027,0.1259,11.186330165702852,10.435745822503742,9.576495386114498
91.5,0.16601562499999806,91.73101237243746,10,1,-13.26267468500103,3.870179445141554,0.0031,0.27635,0.7757,-12.772697954637891,4.601947573680111,-13.302249719364173,3.8922835832308635,-13.77085891697998,3.1158546741519655,,,,,,,,,,,,,,
91.5,0.16601562499999806,91.73101237243746,20,1,-13.264973644606917,,,,,-12.774145608555141,,-13.305386831778767,,-13.773295783174834,,7.085091315531731,0.0001,0.03345,0.40135,7.865971359508654,7.11969293408145,6.2691201682136555,,,,,,,
91.5,0.16601562499999806,91.73101237243746,30,1,-13.264973644606917,,,,,-12.774145608555141,,-13.305386831778767,,-13.773295783174834,,,,,,,,,10.395676149129867,0.0,0.0033,0.14795,11.181955526314171,10.431762555150408,9.572816749008334
92.25,0.15478515624999808,92.30899485234355,10,1,-13.01552452749654,3.8664352438509466,0.0035,0.31545,0.8166,-12.533573555420954,4.597719677494326,-13.053837265720441,3.888525276285628,-13.515028324279307,3.1126085722110135,,,,,,,,,,,,,,
92.25,0.15478515624999808,92.30899485234355,20,1,-13.013827124045854,,,,,-12.531311849245803,,-13.05316250511487,,-13.512901035611641,,7.081036559152603,0.0001,0.04195,0.4507,7.861560368437787,7.115647224587599,6.265412808037033,,,,,,,
92.25,0.15478515624999808,92.30899485234355,30,1,-13.013827124045854,,,,,-12.531311849245803,,-13.05316250511487,,-13.512901035611641,,,,,,,,,10.391586437940598,0.0,0.00405,0.1731,11.177523969102205,10.427685783663122,9.569056141562536
92.75,0.1435546874999981,92.88697733224961,10,1,-12.772684199920523,3.8625600522994996,0.00465,0.3592,0.8544,-12.301078336822895,4.593399740724272,-12.809074460874772,3.884615976401411,-13.261380510278116,3.109212521638046,,,,,,,,,,,,,,
92.75,0.1435546874999981,92.88697733224961,20,1,-12.772684199920523,,,,,-12.301078336822895,,-12.809074460874772,,-13.261380510278116,,7.076862151837349,0.0001,0.0519,0.50135,7.857061118370198,7.11144840960454,6.261587860776024,,,,,,,
92.75,0.1435546874999981,92.88697733224961,30,1,-12.772684199920523,,,,,-12.301078336822895,,-12.809074460874772,,-13.261380510278116,,,,,,,,,10.387376461648941,0.0,0.0058,0.20235,11.173004378082513,10.423454608327983,9.565177177610089
93.25,0.1323242187499981,93.46495981215568,10,1,-12.528502877650805,3.858430408859253,0.00585,0.4083,0.89205,-12.06657784614725,4.588778787197006,-12.563540748492565,3.8804729451086253,-13.006643653660937,3.105587879077298,,,,,,,,,,,,,,
93.25,0.1323242187499981,93.46495981215568,20,1,-12.528502877650805,,,,,-12.06657784614725,,-12.563540748492565,,-13.006643653660937,,7.0723996694803235,0.0001,0.0642,0.5532,7.852233554834939,7.106994155787678,6.257482445254332,,,,,,,
93.25,0.1323242187499981,93.46495981215568,30,1,-12.528502877650805,,,,,-12.06657784614725,,-12.563540748492565,,-13.006643653660937,,,,,,,,,10.3828756421566,0.0,0.0065,0.238,11.168154683882559,10.418965615694152,9.561013608276486
93.75,0.12109374999999814,93.94585929739004,10,1,-9.704122527558395,3.7895015681505204,0.1459,0.95835,1.0,-9.258553992179605,4.510503777466496,-9.73238629919043,3.8112483441865437,-10.169510782536511,3.046306755076222,,,,,,,,,,,,,,
93.75,0.12109374999999814,93.9466118787441,20,1,-9.702992196468676,,,,,-9.257882814541452,,-9.731618718794893,,-10.167412553379378,,6.997684847927093,0.0027,0.54775,0.9928,7.770223488332843,7.032340340508482,6.190006204656049,,,,,,,
93.75,0.12109374999999814,93.94585929739004,30,1,-9.704122527558395,,,,,-9.258553992179605,,-9.73238629919043,,-10.169510782536511,,,,,,,,,10.307596674871444,0.0001,0.1601,0.851,11.085820455928728,10.343804389041702,9.492676325204993
94.25,0.10986328124999817,94.50690869683012,10,1,-6.648464411469668,3.644715540069342,0.8969,1.0,1.0,-6.121904179060239,4.34601947842205,-6.69913858175097,3.666278012047718,-7.190684890967586,2.9214152363346977,,,,,,,,,,,,,,
94.25,0.10986328124999817,94.50690869683012,20,1,-6.648464411469668,,,,,-6.121904179060239,,-6.69913858175097,,-7.190684890967586,,6.83992409696579,0.2796,0.99925,1.0,7.597315635807012,6.8751674248346974,6.046813459027143,,,,,,,
94.25,0.10986328124999817,94.50690869683012,30,1,-6.648464411469668,,,,,-6.121904179060239,,-6.69913858175097,,-7.190684890967586,,,,,,,,,10.148197038173675,0.0272,0.90665,1.0,10.911912629614351,10.185136804340411,9.347061095117521
