saving,rho_zeta_full,rho_zeta_proxy,rho_hoyer
0.931023062563979,0.43702217302217305,0.6262160422160423,-0.1985916545916546
0.9321596314807008,0.44485993285993286,0.6300649500649501,-0.2070968550968551
0.9330177033780936,0.42239561039561047,0.6165465285465286,-0.18086280086280088
0.9340865297766002,0.4463223023223023,0.6310227790227791,-0.20917043317043318
0.935008580718974,0.42810959610959615,0.6247234687234688,-0.18855806055806057
0.9360134280724997,0.44772888372888375,0.6312330792330793,-0.21187116787116786
0.9370220388992594,0.41313294513294513,0.6101328341328341,-0.16975983775983777
0.9380193593063164,0.4161806001806002,0.6067019827019828,-0.174985746985747
0.939016679713374,0.4578114978114978,0.6270459390459391,-0.23620829620829625
0.9400027097007286,0.4221866661866662,0.6005484005484005,-0.19576358776358777
0.941000030107786,0.4645754245754246,0.623959631959632,-0.25079228279228283
0.9420086409345456,0.4901455181455182,0.627055767055767,-0.2911899871899872
0.943005961341603,0.4756279276279277,0.6210490650490651,-0.26982312582312584
0.9440070452218944,0.5853985533985535,0.6645610125610126,-0.4243309963309964
0.9450043656289516,0.5738991938991939,0.6607628647628648,-0.41350626550626557
0.9460016860360088,0.5695982095982096,0.6579211419211419,-0.4085625005625006
0.947017823809237,0.5462595542595543,0.6377207897207897,-0.37890589890589893
0.9480151442162944,0.5725972405972406,0.6272486192486193,-0.43484335484335485
0.9490275185162884,0.5665290145290145,0.6255901935901936,-0.42543109743109747
0.9500079032937918,0.43998414798414803,0.523054351054351,-0.31290823290823294
