block,bits,kappa
layers.0.vss.1.in_proj,8,0.0009633041331767964
layers.0.vss.1.in_proj,4,0.0004816520665883982
layers.0.vss.1.in_proj,2,0.0002408260332941991
layers.0.vss.1.out_norm,16,3.0103254161774888e-05
layers.0.vss.1.out_norm,8,1.5051627080887444e-05
layers.0.vss.1.out_norm,4,7.525813540443722e-06
layers.0.vss.1.out_norm,2,3.762906770221861e-06
layers.0.vss.1.out_proj,16,0.0009633041331767964
layers.0.vss.1.out_proj,8,0.0004816520665883982
layers.0.vss.1.out_proj,4,0.0002408260332941991
layers.0.vss.1.out_proj,2,0.00012041301664709955
layers.1.vss.1.conv2d,16,0.000270929287455974
layers.1.vss.1.conv2d,8,0.000135464643727987
layers.1.vss.1.conv2d,4,6.77323218639935e-05
layers.1.vss.1.conv2d,2,3.386616093199675e-05
layers.1.vss.1.in_proj,16,0.0019266082663535928
layers.1.vss.1.in_proj,8,0.0009633041331767964
layers.1.vss.1.in_proj,4,0.0004816520665883982
layers.1.vss.1.in_proj,2,0.0002408260332941991
layers.1.vss.1.out_norm,16,3.0103254161774888e-05
layers.1.vss.1.out_norm,8,1.5051627080887444e-05
layers.1.vss.1.out_norm,4,7.525813540443722e-06
layers.1.vss.1.out_norm,2,3.762906770221861e-06
layers.1.vss.1.out_proj,16,0.0009633041331767964
layers.1.vss.1.out_proj,8,0.0004816520665883982
layers.1.vss.1.out_proj,4,0.0002408260332941991
layers.1.vss.1.out_proj,2,0.00012041301664709955
proj_conv,16,0.00012041301664709955
proj_conv,8,6.0206508323549776e-05
proj_conv,4,3.0103254161774888e-05
proj_conv,2,1.5051627080887444e-05
stem.0,16,0.000270929287455974
stem.0,8,0.000135464643727987
stem.0,4,6.77323218639935e-05
stem.0,2,3.386616093199675e-05
stem.1,16,1.5051627080887444e-05
stem.1,8,7.525813540443722e-06
stem.1,4,3.762906770221861e-06
stem.1,2,1.8814533851109305e-06
