Target_Saving,Budget,Avg_Saving,SNR_Context,Num_Policies,NMSE_dB,Rate_10,Outage_10dB_95,Outage_10dB_98,Outage_10dB_99,NMSE_dB_Low,Rate_10_Low,NMSE_dB_Mid,Rate_10_Mid,NMSE_dB_High,Rate_10_High,Rate_20,Outage_20dB_95,Outage_20dB_98,Outage_20dB_99,Rate_20_Low,Rate_20_Mid,Rate_20_High,Rate_30,Outage_30dB_95,Outage_30dB_98,Outage_30dB_99,Rate_30_Low,Rate_30_Mid,Rate_30_High
95.5,0.0874023437499982,95.63017399680905,10,2,-3.8158329887916964,3.311785944086313,1.0,1.0,1.0,-3.444052014821829,3.971497522869293,-3.8440956248056066,3.3329190379248885,-4.191855048398277,2.6305326011930767,,,,,,,,,,,,,,
95.5,0.0874023437499982,95.63017399680905,20,2,-3.8158329887916964,,,,,-3.444052014821829,,-3.8440956248056066,,-4.191855048398277,,6.4693148362755775,0.99455,1.0,1.0,7.197785934575246,6.506373408531528,5.703325664116984,,,,,,,
95.5,0.0874023437499982,95.63017399680905,30,2,-3.8158329887916964,,,,,-3.444052014821829,,-3.8440956248056066,,-4.191855048398277,,,,,,,,,9.772850126647949,0.78305,1.0,1.0,10.509458059598103,9.812058608976752,8.996568035249378
96.0,0.07617187499999822,96.19284144616033,10,8,-2.839316817778294,3.1009440113931896,1.0,1.0,1.0,-2.5322026747193425,3.7362808487554044,-2.855998634254411,3.1184374121004903,-3.1520779481366903,2.447721918438878,,,,,,,,,,,,,,
96.0,0.07617187499999822,96.19284144616033,20,8,-2.839316817778294,,,,,-2.5322026747193425,,-2.855998634254411,,-3.1520779481366903,,6.227354862260818,1.0,1.0,1.0,6.9416097085777695,6.26206193180519,5.47794338942719,,,,,,,
96.0,0.07617187499999822,96.19284144616033,30,8,-2.839316817778294,,,,,-2.5322026747193425,,-2.855998634254411,,-3.1520779481366903,,,,,,,,,9.526620222616195,0.9804,1.0,1.0,10.250703024020364,9.563820250104413,8.764880441245483
96.5,0.05371093749999827,96.57801258316024,10,1,-1.840040017355823,2.8300590104162695,1.0,1.0,1.0,-1.4707394746542415,3.4363129727841852,-1.8749210617860892,2.8483192997380655,-2.205957396586233,2.2051699002321454,,,,,,,,,,,,,,
96.5,0.05371093749999827,96.57801258316024,20,1,-1.840040017355823,,,,,-1.4707394746542415,,-1.8749210617860892,,-2.205957396586233,,5.904147596651316,1.0,1.0,1.0,6.607183898289045,5.943377062204575,5.161436291784942,,,,,,,
96.5,0.05371093749999827,96.57801258316024,30,1,-1.840040017355823,,,,,-1.4707394746542415,,-1.8749210617860892,,-2.205957396586233,,,,,,,,,9.195130436348915,1.0,1.0,1.0,9.911641638366206,9.237886265143707,8.435407663021339
97.0,0.03124999999999832,96.38535175652488,10,2,-2.0590031725856397,2.900516346254945,1.0,1.0,1.0,-1.6689771872989505,3.5126523634024416,-2.091941538014512,2.916753427651233,-2.451723340021148,2.2717660729821416,,,,,,,,,,,,,,
97.0,0.03124999999999832,96.38535175652488,20,2,-2.0590031725856397,,,,,-1.6689771872989505,,-2.091941538014512,,-2.451723340021148,,5.99002107861042,1.0,1.0,1.0,6.6935272862543655,6.025415223447163,5.250677208511197,,,,,,,
97.0,0.03124999999999832,96.38535175652488,30,2,-2.0590031725856397,,,,,-1.6689771872989505,,-2.091941538014512,,-2.451723340021148,,,,,,,,,9.283614533519746,0.99995,1.0,1.0,9.999390068494709,9.32205834986567,8.528942469502983
