l,r,b,omega_nmse
16,20,2,1.841971410496207
16,21,8,0.0002340814339928329
16,21,4,0.07402954693944193
16,21,2,1.9132819206338842
16,22,8,0.00027840930190868677
16,22,4,0.07817286598184146
16,22,2,1.971151904552849
17,18,8,3.422925896011293e-05
17,18,4,0.0058628054353874175
17,18,2,0.029083792178472505
17,19,8,6.120598223060369e-05
17,19,4,0.011898430985352024
17,19,2,0.055724398668808864
17,20,8,0.00016836458710022272
17,20,4,0.06399275621571578
17,20,2,1.7502259502705653
17,21,8,0.0002021056026685983
17,21,4,0.06973800155804492
17,21,2,1.8278999768715818
17,22,8,0.00024325509839691223
17,22,4,0.07393002711855806
17,22,2,1.8833790044632275
17,23,8,0.00026221809512935577
17,23,4,0.0816970828177873
17,23,2,1.9598529501718003
18,19,8,2.7858180180191994e-05
18,19,4,0.006511156665859744
18,19,2,0.030011544007668273
18,20,8,0.00013334066779352726
18,20,4,0.05855602679508738
18,20,2,1.7098474814404268
18,21,8,0.00016883432897739112
18,21,4,0.06439727815785445
18,21,2,1.784142266049655
18,22,8,0.00020986678055487574
18,22,4,0.06854352243165486
18,22,2,1.8371470682632645
18,23,8,0.00022860810654237867
18,23,4,0.07669877416347154
18,23,2,1.913986979777785
18,24,8,0.00024784492598846553
18,24,4,0.08297067857761867
18,24,2,2.0386949756484944
19,20,8,0.00011092241830192506
19,20,4,0.05269976948504336
19,20,2,1.6481354834724684
19,21,8,0.0001444066164083779
19,21,4,0.05870522869634442
19,21,2,1.7221348332580644
19,22,8,0.00018578355046920477
19,22,4,0.06319273586873897
19,22,2,1.7749199593108613
19,23,8,0.00020488918623887
19,23,4,0.07152393987313845
19,23,2,1.849448789602192
19,24,8,0.00022320259483531117
19,24,4,0.07793678738703019
19,24,2,1.971252900069626
19,25,8,0.0002579160273540765
19,25,4,0.08518249303349294
19,25,2,2.0669572305080015
20,21,8,3.618308403529227e-05
20,21,4,0.006241975471191108
20,21,2,0.04369531461461447
20,22,8,7.846742151305079e-05
20,22,4,0.011484498193999753
20,22,2,0.07669579460644163
20,23,8,9.739106837660074e-05
20,23,4,0.019158000049879775
20,23,2,0.10464614649512805
20,24,8,0.00011593795591033995
20,24,4,0.024141112451953814
20,24,2,0.14263780705449172
20,25,8,0.00015146877593360842
20,25,4,0.030005533004226162
20,25,2,0.17585944354762323
20,26,8,0.00017632593251764775
20,26,4,0.03596697509451769
20,26,2,0.21544752687891014
21,22,8,4.2320913495495916e-05
21,22,4,0.005897465987037867
21,22,2,0.03749190032142215
21,23,8,6.256670765578747e-05
21,23,4,0.013925101122399792
21,23,2,0.06737886883080937
21,24,8,8.157282345928252e-05
21,24,4,0.01863871676973067
21,24,2,0.10607096690465696
21,25,8,0.00011832130793482065
21,25,4,0.02441242027054541
21,25,2,0.13999032325749286
21,26,8,0.00014410857800394296
21,26,4,0.030173875878332184
21,26,2,0.18019795021233148
21,27,8,0.0001733940690290183
21,27,4,0.036770574121316894
21,27,2,0.21178596181091852
22,23,8,2.1557130385190248e-05
22,23,4,0.008555288262711838
22,23,2,0.033704193298472095
22,24,8,4.076839820481837e-05
22,24,4,0.013410296598030254
22,24,2,0.07417878281441517
22,25,8,7.76061980985105e-05
22,25,4,0.019139298311201855
22,25,2,0.10792331671589055
22,26,8,0.00010365391965024173
22,26,4,0.0249466676086653
22,26,2,0.14906599811506457
22,27,8,0.00013347875070758163
22,27,4,0.03178671277486719
22,27,2,0.1814062320180703
22,28,8,0.0001649676919449121
22,28,4,0.0380540589667391
22,28,2,0.22032819557045585
23,24,8,1.8974819499999285e-05
23,24,4,0.0052463600483257326
23,24,2,0.044136862188531086
23,25,8,5.620773215778172e-05
23,25,4,0.011233450960787013
23,25,2,0.07882025936101564
23,26,8,8.243252597749233e-05
23,26,4,0.01735271525667049
23,26,2,0.11874672994767316
23,27,8,0.0001115094589535147
