encoder2.conv,encoder_fc_part19,encoder_fc_part22,encoder_fc_part8,encoder_fc_part11,encoder_fc_part5,encoder_fc_part1,encoder_fc_part7,encoder1.conv3x3_bn.conv,encoder_fc_part14,encoder_fc_part10,encoder_fc_part20,encoder_fc_part0,encoder_fc_part15,encoder_fc_part29,encoder_fc_part13,encoder_fc_part6,encoder_fc_part23,encoder_fc_part28,encoder_fc_part16,encoder_fc_part3,encoder_fc_part2,encoder_fc_part18,encoder_fc_part4,encoder_fc_part27,encoder_fc_part25,encoder_fc_part17,encoder_fc_part9,encoder_fc_part21,encoder_fc_part26,encoder_fc_part24,encoder_fc_part31,encoder_fc_part12,encoder_fc_part30,encoder_conv.conv1x1_bn.conv,encoder1.conv1x9_bn.conv,encoder1.conv9x1_bn.conv,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB,NMSE_dB_ILP
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.8,89.84362484838776,0.012305623086884229,-12.897075519801223,-12.893791468314944
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,16,16,8,89.9,90.03890904028499,0.013561257648802302,-12.89480459612665,-12.891586118103572
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,16,16,8,90.0,90.03890904028499,0.013561257648802302,-12.89480459612665,-12.891586118103572
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,16,16,8,90.1,90.23419323218222,0.014846226211792038,-12.892945504221364,-12.889622236370585
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,16,16,8,90.2,90.23419323218222,0.014846226211792038,-12.892945504221364,-12.889622236370585
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,16,16,8,90.3,90.42947742407945,0.016155648950859202,-12.891450971156655,-12.886298669366967
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.4,90.42947742407945,0.016145429816723452,-12.88953492126499,-12.886298669366967
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.5,90.6247616159767,0.01745485255579062,-12.887821486963453,-12.884840343011382
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.6,90.6247616159767,0.01745485255579062,-12.887821486963453,-12.884840343011382
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.7,90.82004580787391,0.01880018128097174,-12.886506208801542,-12.883531843234017
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.8,90.82004580787391,0.01880018128097174,-12.886506208801542,-12.883531843234017
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.9,91.01532999977115,0.020177477869214134,-12.884808214727972,-12.88115799721086
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.0,91.01532999977115,0.020200609496558147,-12.884808214727972,-12.88115799721086
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.1,91.21061419166838,0.021577906084800532,-12.882527016909943,-12.879832993282974
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.2,91.21061419166838,0.02160404267780641,-12.88168961520811,-12.879832993282974
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.3,91.40589838356561,0.02300447089339281,-12.880025993638268,-12.877076546994877
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.4,91.40589838356561,0.02300447089339281,-12.880025993638268,-12.877076546994877
16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.5,91.60118257546284,0.024467279078514696,-12.877652620465824,-12.874747821073244
16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.6,91.60118257546284,0.024467279078514696,-12.877652620465824,-12.874747821073244
16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,91.7,91.79646676736007,0.02601884038817821,-12.874014173449318,-12.873300322694238
16,16,16,16,16,16,16,16,16,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.8,91.99175095925732,0.027896593897784996,-12.874014173449318,-12.871421262223762
16,16,16,16,16,16,16,16,16,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,91.9,91.99175095925732,0.027897404527931723,-12.871776528680721,-12.871421262223762
16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,92.0,92.18703515115453,0.02978648011692831,-12.871730691020435,-12.869211803800543
16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,92.1,92.18703515115453,0.02978648011692831,-12.871730691020435,-12.869211803800543
