l,r,b,omega_nmse
13,19,2,0.15180046001961456
14,15,8,4.953519441187382e-06
14,15,4,0.001451805928023532
14,15,2,0.025803768578637393
14,16,8,1.1850997619330883e-05
14,16,4,0.0028398521544411776
14,16,2,0.05286567131932825
14,17,8,1.7749607469886543e-05
14,17,4,0.0044652217758819465
14,17,2,0.07891009845947847
14,18,8,2.212744769640267e-05
14,18,4,0.005932714385399595
14,18,2,0.10377357420520857
14,19,8,2.6930284360423685e-05
14,19,4,0.007099978043884039
14,19,2,0.12421146479872987
14,20,8,3.1082991044968365e-05
14,20,4,0.008509613584447653
14,20,2,0.15080133853619918
15,16,8,6.981623265892267e-06
15,16,4,0.0014293010455090553
15,16,2,0.028925754775479436
15,17,8,1.2866541277617217e-05
15,17,4,0.0031064244971144945
15,17,2,0.05546706927102059
15,18,8,1.7289134487509728e-05
15,18,4,0.004607657699659467
15,18,2,0.08050771759385243
15,19,8,2.2069315053522585e-05
15,19,4,0.005802011339040473
15,19,2,0.10077894682427868
15,20,8,2.6301362877711655e-05
15,20,4,0.00724100560778752
15,20,2,0.12737185412114485
15,21,8,3.219522419385612e-05
15,21,4,0.008794736328721046
15,21,2,0.15269668967975303
16,17,8,5.800139671191573e-06
16,17,4,0.0017115803748834878
16,17,2,0.02833414554987103
16,18,8,1.0221719462424516e-05
16,18,4,0.0032376329382881523
16,18,2,0.05463167771296576
16,19,8,1.4890457037836313e-05
16,19,4,0.0044505827352404595
16,19,2,0.07465004143891855
16,20,8,1.918329680338502e-05
16,20,4,0.005912712365528569
16,20,2,0.10196913841916248
16,21,8,2.501902598887682e-05
16,21,4,0.007485845171101391
16,21,2,0.12789339961400256
16,22,8,3.3344557369127866e-05
16,22,4,0.00933632767368108
16,22,2,0.1543117719377391
17,18,8,4.407212929800153e-06
17,18,4,0.0015708699710667133
17,18,2,0.02792838087826967
17,19,8,9.067346388474107e-06
17,19,4,0.0027973074584733697
17,19,2,0.04876388541786
17,20,8,1.3361150771379471e-05
17,20,4,0.0042955028041731565
17,20,2,0.07609324328536168
17,21,8,1.9247751822695138e-05
17,21,4,0.005902408832870424
17,21,2,0.10254676080597565
17,22,8,2.7452702075242995e-05
17,22,4,0.00770918815843761
17,22,2,0.12938059604940935
17,23,8,3.371781464666128e-05
17,23,4,0.00884267983911559
17,23,2,0.15013155039241538
18,19,8,4.66364249587059e-06
18,19,4,0.001299356239521876
18,19,2,0.023051123356539756
18,20,8,8.938238583505154e-06
18,20,4,0.002860237433947623
18,20,2,0.05166189115187153
18,21,8,1.4823070028796793e-05
18,21,4,0.0044809848211240025
18,21,2,0.07842477183742448
18,22,8,2.318976460956037e-05
18,22,4,0.006280842283833772
18,22,2,0.10520450322432444
18,23,8,2.940864535048604e-05
18,23,4,0.007451941322442144
18,23,2,0.12589348931526764
18,24,8,3.536968845874071e-05
18,24,4,0.008484591990243644
18,24,2,0.14453467773934825
19,20,8,4.28442694246769e-06
19,20,4,0.0016055108250118792
19,20,2,0.03049607860231772
19,21,8,1.0248866770416498e-05
19,21,4,0.0032731377561576666
19,21,2,0.05854326099446043
19,22,8,1.8562163971364498e-05
19,22,4,0.0050785015776753425
19,22,2,0.08544046852970495
19,23,8,2.4791775178164243e-05
19,23,4,0.00626740869586356
19,23,2,0.10643834504475817
19,24,8,3.075500195845962e-05
19,24,4,0.007313139575952664
19,24,2,0.12523572471430525
19,25,8,3.514310270547867e-05
19,25,4,0.008435196319920943
19,25,2,0.14625383499404415
20,21,8,5.8743546716868874e-06
20,21,4,0.0017083034076262266
20,21,2,0.031431847012229265
20,22,8,1.4236996741965414e-05
20,22,4,0.0035465823282953353
20,22,2,0.05897430039094761
20,23,8,2.054076516069472e-05
20,23,4,0.004757064471766353
20,23,2,0.08027431242959573
20,24,8,2.6450662221759558e-05
20,24,4,0.005808309164363891
20,24,2,0.09959923610715196
20,25,8,3.086448940448463e-05
20,25,4,0.006954197863349691
20,25,2,0.1209721819925122
20,26,8,3.391866241581738e-05
20,26,4,0.008391885264730082
20,26,2,0.14099197184210643
21,22,8,8.514649979770183e-06
21,22,4,0.0019142055321019144
21,22,2,0.030370674477051943
21,23,8,1.4671377185732127e-05
21,23,4,0.003152572670346126
21,23,2,0.053032784663047644
21,24,8,2.0716716442257167e-05
