position,csinet_w8,csinet_w4,csinet_w2
1.240000000000000000e+02,4.486053876462392509e-05,7.853026036173105240e-04,2.712578279897570610e-03
1.250000000000000000e+02,4.352297037257812917e-05,7.257774705067276955e-04,2.729546511545777321e-03
1.260000000000000000e+02,4.102191815036348999e-05,6.823333678767085075e-04,2.477025613188743591e-03
1.270000000000000000e+02,3.018098323082085699e-05,4.441975324880331755e-04,2.008564304560422897e-03
1.280000000000000000e+02,1.583137236593756825e-05,3.171557327732443810e-04,9.836262324824929237e-04
1.290000000000000000e+02,2.268974094477016479e-05,4.223292635288089514e-04,8.895462960936129093e-04
1.300000000000000000e+02,2.777660120045766234e-05,5.005698767490684986e-04,1.160075538791716099e-03
1.310000000000000000e+02,3.320567338960245252e-05,5.805969703942537308e-04,1.542031299322843552e-03
1.320000000000000000e+02,3.841269426629878581e-05,7.006492232903838158e-04,1.752173062413930893e-03
1.330000000000000000e+02,4.671216083806939423e-05,8.416697382926940918e-04,2.265988383442163467e-03
1.340000000000000000e+02,5.627125210594385862e-05,9.620947530493140221e-04,2.890900708734989166e-03
1.350000000000000000e+02,6.691648013656958938e-05,1.225619227625429630e-03,3.709678538143634796e-03
1.360000000000000000e+02,9.169324039248749614e-05,1.648555858992040157e-03,5.497195757925510406e-03
1.370000000000000000e+02,1.297955896006897092e-04,2.320903353393077850e-03,8.743166923522949219e-03
1.380000000000000000e+02,1.725539768813177943e-04,2.945036860182881355e-03,1.098133902996778488e-02
1.390000000000000000e+02,1.997571234824135900e-04,3.498892299830913544e-03,1.406925078481435776e-02
1.400000000000000000e+02,2.333715674467384815e-04,3.979181405156850815e-03,1.698824763298034668e-02
1.410000000000000000e+02,2.690358960535377264e-04,4.673870746046304703e-03,1.914266869425773621e-02
1.420000000000000000e+02,2.876451471820473671e-04,4.663756117224693298e-03,1.954542659223079681e-02
1.430000000000000000e+02,2.933283685706555843e-04,4.771315492689609528e-03,2.070816233754158020e-02
1.440000000000000000e+02,2.616694837342947721e-04,3.977937158197164536e-03,1.686048135161399841e-02
1.450000000000000000e+02,2.050906332442536950e-04,3.339983988553285599e-03,1.390069071203470230e-02
1.460000000000000000e+02,1.495878532296046615e-04,2.602449618279933929e-03,1.059844717383384705e-02
1.470000000000000000e+02,1.249057240784168243e-04,1.939084730111062527e-03,7.903424091637134552e-03
1.480000000000000000e+02,9.915400005411356688e-05,1.560544595122337341e-03,6.051010917872190475e-03
1.490000000000000000e+02,8.083692227955907583e-05,1.358329667709767818e-03,4.804285243153572083e-03
1.500000000000000000e+02,7.180666580097749829e-05,1.193718635477125645e-03,4.154209047555923462e-03
1.510000000000000000e+02,6.319156091194599867e-05,1.010700128972530365e-03,3.579231677576899529e-03
1.520000000000000000e+02,5.779921048087999225e-05,9.133918792940676212e-04,3.035585861653089523e-03
1.530000000000000000e+02,5.213674376136623323e-05,8.741463534533977509e-04,2.899606944993138313e-03
1.540000000000000000e+02,4.930666909785941243e-05,8.315260638482868671e-04,2.618946367874741554e-03
1.550000000000000000e+02,4.770577652379870415e-05,7.626614533364772797e-04,2.719146665185689926e-03
1.560000000000000000e+02,4.619160245056264102e-05,7.352423854172229767e-04,2.675954019650816917e-03
1.570000000000000000e+02,4.058019840158522129e-05,7.064533419907093048e-04,2.522891387343406677e-03
1.580000000000000000e+02,4.129716398892924190e-05,6.415043026208877563e-04,2.332550706341862679e-03
1.590000000000000000e+02,3.016492155438754708e-05,4.256612155586481094e-04,2.048935042694211006e-03
1.600000000000000000e+02,1.553558468003757298e-05,3.040342417079955339e-04,9.269198635593056679e-04
1.610000000000000000e+02,2.265979310323018581e-05,3.924726042896509171e-04,8.480179822072386742e-04
1.620000000000000000e+02,2.631336428748909384e-05,4.803276970051229000e-04,1.097437692806124687e-03
1.630000000000000000e+02,3.177367398166097701e-05,5.608955398201942444e-04,1.407027128152549267e-03
1.640000000000000000e+02,3.763291169889271259e-05,6.721731042489409447e-04,1.732989796437323093e-03
1.650000000000000000e+02,4.612282282323576510e-05,7.676754030399024487e-04,2.124561229720711708e-03
1.660000000000000000e+02,5.146623152540996671e-05,9.418020490556955338e-04,2.681890269741415977e-03
1.670000000000000000e+02,6.617051258217543364e-05,1.170774572528898716e-03,3.614878049120306969e-03
1.680000000000000000e+02,9.213743760483339429e-05,1.545709674246609211e-03,5.080477334558963776e-03
1.690000000000000000e+02,1.228272158186882734e-04,2.064524218440055847e-03,7.434345316141843796e-03
1.700000000000000000e+02,1.544150727568194270e-04,2.695577917620539665e-03,9.572116658091545105e-03
1.710000000000000000e+02,1.990446908166632056e-04,3.446344984695315361e-03,1.288995891809463501e-02
1.720000000000000000e+02,2.242908958578482270e-04,3.786511719226837158e-03,1.495452877134084702e-02
1.730000000000000000e+02,2.651713148225098848e-04,4.497591871768236160e-03,1.810355111956596375e-02
1.740000000000000000e+02,2.868025330826640129e-04,4.646855406463146210e-03,2.016120590269565582e-02
1.750000000000000000e+02,2.811535377986729145e-04,4.582066554576158524e-03,2.073282748460769653e-02
1.760000000000000000e+02,2.492099301889538765e-04,4.023620393127202988e-03,1.614517159759998322e-02
1.770000000000000000e+02,2.074236399494111538e-04,3.357709385454654694e-03,1.394686475396156311e-02
1.780000000000000000e+02,1.581997639732435346e-04,2.421686891466379166e-03,9.957436472177505493e-03
1.790000000000000000e+02,1.221434358740225434e-04,1.978003652766346931e-03,7.474946323782205582e-03
1.800000000000000000e+02,9.238332859240472317e-05,1.520193764008581638e-03,5.451483651995658875e-03
1.810000000000000000e+02,8.032345795072615147e-05,1.243158592842519283e-03,4.351894371211528778e-03
1.820000000000000000e+02,6.980209582252427936e-05,1.065947348251938820e-03,3.859530668705701828e-03
1.830000000000000000e+02,6.206524267327040434e-05,9.743624832481145859e-04,3.417790634557604790e-03
1.840000000000000000e+02,5.430768578662537038e-05,9.264373220503330231e-04,3.083426039665937424e-03
1.850000000000000000e+02,4.944723332300782204e-05,7.611479959450662136e-04,2.912937896326184273e-03
1.860000000000000000e+02,4.818776505999267101e-05,7.712187361903488636e-04,2.510871505364775658e-03
1.870000000000000000e+02,4.388964953250251710e-05,6.986505468375980854e-04,2.339857630431652069e-03
1.880000000000000000e+02,4.114402327104471624e-05,7.058376795612275600e-04,2.660761354491114616e-03
1.890000000000000000e+02,3.750944597413763404e-05,6.605801172554492950e-04,2.215660410001873970e-03
1.900000000000000000e+02,3.872207526001147926e-05,6.208746926859021187e-04,2.134431619197130203e-03
1.910000000000000000e+02,2.880760075640864670e-05,4.054756718687713146e-04,2.048632595688104630e-03
1.920000000000000000e+02,1.437171158613637090e-05,2.904980210587382317e-04,8.889740565791726112e-04
1.930000000000000000e+02,2.123525337083265185e-05,3.867185732815414667e-04,9.049279615283012390e-04
1.940000000000000000e+02,2.625203342176973820e-05,4.598589439410716295e-04,1.105367671698331833e-03
1.950000000000000000e+02,3.042273965547792614e-05,5.588942440226674080e-04,1.503060455434024334e-03
1.960000000000000000e+02,3.748614108189940453e-05,6.623581866733729839e-04,1.691969227977097034e-03
1.970000000000000000e+02,4.598195300786755979e-05,8.187962230294942856e-04,2.302344655618071556e-03
1.980000000000000000e+02,5.268586392048746347e-05,9.594950242899358273e-04,2.719354350119829178e-03
1.990000000000000000e+02,6.603393558179959655e-05,1.149723189882934093e-03,3.233739407733082771e-03
2.000000000000000000e+02,8.144305320456624031e-05,1.525795436464250088e-03,4.785677418112754822e-03
2.010000000000000000e+02,1.104460607166402042e-04,1.966722542420029640e-03,6.859085988253355026e-03
2.020000000000000000e+02,1.421563356416299939e-04,2.494531217962503433e-03,9.310406632721424103e-03
2.030000000000000000e+02,1.896986941574141383e-04,3.139138221740722656e-03,1.167108304798603058e-02
2.040000000000000000e+02,2.131040964741259813e-04,3.527001012116670609e-03,1.371073722839355469e-02
2.050000000000000000e+02,2.548532502260059118e-04,4.296828992664813995e-03,1.758650504052639008e-02
2.060000000000000000e+02,2.774944878183305264e-04,4.538877867162227631e-03,1.968360878527164459e-02
2.070000000000000000e+02,2.587976050563156605e-04,4.266631323844194412e-03,1.909247972071170807e-02
2.080000000000000000e+02,2.320258354302495718e-04,3.610578831285238266e-03,1.629445143043994904e-02
2.090000000000000000e+02,1.910293649416416883e-04,3.001639619469642639e-03,1.284029707312583923e-02
2.100000000000000000e+02,1.452241704100742936e-04,2.335887169465422630e-03,9.238664060831069946e-03
2.110000000000000000e+02,1.182988489745184779e-04,1.784472493454813957e-03,6.760611664503812790e-03
2.120000000000000000e+02,8.680899918545037508e-05,1.390118151903152466e-03,4.843791946768760681e-03
2.130000000000000000e+02,6.928545917617157102e-05,1.182013191282749176e-03,4.299835767596960068e-03
2.140000000000000000e+02,6.067982394597493112e-05,1.060394803062081337e-03,3.718321677297353745e-03
2.150000000000000000e+02,5.506903835339471698e-05,9.286339627578854561e-04,3.163653193041682243e-03
2.160000000000000000e+02,5.157900523045100272e-05,8.300913614220917225e-04,3.122407011687755585e-03
2.170000000000000000e+02,4.474607703741639853e-05,7.922486402094364166e-04,2.577922539785504341e-03
2.180000000000000000e+02,4.681149948737584054e-05,7.636326481588184834e-04,2.694927388802170753e-03
2.190000000000000000e+02,4.159945456194691360e-05,6.793943466618657112e-04,2.447149483487010002e-03
2.200000000000000000e+02,4.129766966798342764e-05,6.724082049913704395e-04,2.364163286983966827e-03
2.210000000000000000e+02,3.739668318303301930e-05,6.339068640954792500e-04,2.144450088962912560e-03
2.220000000000000000e+02,3.553320493665523827e-05,5.889330641366541386e-04,2.084556967020034790e-03
2.230000000000000000e+02,2.718978248594794422e-05,3.900477313436567783e-04,1.784279826097190380e-03
2.240000000000000000e+02,1.392506692354800180e-05,2.711069246288388968e-04,8.354301680810749531e-04
2.250000000000000000e+02,2.037249032582622021e-05,3.626559628173708916e-04,7.497610058635473251e-04
2.260000000000000000e+02,2.564546412031631917e-05,4.195651854388415813e-04,1.048533362336456776e-03
2.270000000000000000e+02,2.942146420537028462e-05,5.114970845170319080e-04,1.353321131318807602e-03
