Target_Saving,Budget,Avg_Saving,SNR_Context,Num_Policies,NMSE_dB,Rate_10,Outage_10dB_95,Outage_10dB_98,Outage_10dB_99,NMSE_dB_Low,Rate_10_Low,NMSE_dB_Mid,Rate_10_Mid,NMSE_dB_High,Rate_10_High,Rate_20,Outage_20dB_95,Outage_20dB_98,Outage_20dB_99,Rate_20_Low,Rate_20_Mid,Rate_20_High,Rate_30,Outage_30dB_95,Outage_30dB_98,Outage_30dB_99,Rate_30_Low,Rate_30_Mid,Rate_30_High
93.75,0.12109374999999814,93.94627321713477,10,6,-9.653181040308311,3.7876012606739997,0.15965,0.95965,1.0,-9.163639119623051,4.506673326947121,-9.694895046965698,3.8098232868050985,-10.158435273510518,3.045862213832562,,,,,,,,,,,,,,
93.75,0.12109374999999814,93.94623558806707,20,5,-9.651995680820475,,,,,-9.16229372055495,,-9.691714139123613,,-10.159674118445768,,6.9957180133581165,0.00365,0.54985,0.99395,7.766206382847004,7.030766545760825,6.189697595919166,,,,,,,
93.75,0.12109374999999814,93.94589692645775,30,4,-9.659773593641308,,,,,-9.175580988257092,,-9.700550808242372,,-10.159348372398444,,,,,,,,,10.305878948307038,0.0002,0.17105,0.85255,11.082289095188088,10.342576483873529,9.492283206026093
94.25,0.10986328124999817,94.50769890725186,10,5,-6.627552616088042,3.640065492171049,0.897,1.0,1.0,-6.075988425137,4.336814625969746,-6.694691283516758,3.662536120479094,-7.183473102978156,2.920414025525228,,,,,,,,,,,,,,
94.25,0.10986328124999817,94.51375718715194,20,6,-6.574774470074552,,,,,-5.986095224390779,,-6.648414344640885,,-7.171743806599215,,6.834540638613701,0.3014,0.9994,1.0,7.586835845545086,6.8710963212592775,6.04521624910302,,,,,,,
94.25,0.10986328124999817,94.51289171859479,30,4,-6.6130538799922345,,,,,-6.050940073524469,,-6.6783767697527825,,-7.18467514868374,,,,,,,,,10.144607653784751,0.03395,0.90925,1.0,10.904306853110732,10.182794774729976,9.346242410152042
95.0,0.09863281249999818,95.07254884252988,10,10,-4.886669963960873,3.4820559568941594,0.99935,1.0,1.0,-4.3132256343622295,4.155160516411084,-4.951182309401362,3.504377186119592,-5.473969307902541,2.7862127457095793,,,,,,,,,,,,,,
95.0,0.09863281249999818,95.07269935880068,20,9,-4.9079347449246935,,,,,-4.347299129705736,,-4.975595617972978,,-5.475010502185377,,6.660248981654644,0.81005,1.0,1.0,7.394855048460522,6.697138882999157,5.888289930690236,,,,,,,
95.0,0.09863281249999818,95.07254884252988,30,9,-4.917035864765071,,,,,-4.3755469389878705,,-4.9700459263778765,,-5.4758096339435705,,,,,,,,,9.967874224638939,0.3683,0.9998,1.0,10.711532409990628,10.00575686201909,9.185864289768604
95.5,0.0874023437499982,95.63017399680905,10,8,-3.629064154169167,3.3083185587882995,1.0,1.0,1.0,-3.143980990515996,3.964114825133442,-3.6697763150348695,3.329566746324426,-4.129829191032602,2.6308677156790106,,,,,,,,,,,,,,
